MGG Query	Matched Targets	Functional Names
WP_010869440.1	WP_019830430	cysteine desulfurase [Mycoplasma pneumoniae]
WP_010869441.1	WP_014894042	DNA-directed RNA polymerase subunit beta' [Mycoplasma genitalium]
WP_010869442.1	WP_014894044	hypothetical protein [Mycoplasma genitalium]
WP_010869443.1	WP_041361229	isoleucine--tRNA ligase [Mycoplasma genitalium]
WP_010869413.1	WP_010874776	glycerophosphoryl diester phosphodiesterase [Mycoplasma pneumoniae]
WP_010869415.1	WP_010874778	tRNA 2-thiouridine(34) synthase MnmA [Mycoplasma pneumoniae]
WP_010869416.1	WP_014894271	chromosome partitioning protein Smc [Mycoplasma genitalium]
WP_010869417.1	WP_014894025	phosphoglycerate kinase [Mycoplasma genitalium]
WP_010869418.1	WP_014894461	hypothetical protein [Mycoplasma genitalium]
WP_010869357.1	WP_014893967	hypothetical protein [Mycoplasma genitalium]
WP_010869358.1	WP_014894184	50S ribosomal protein L3 [Mycoplasma genitalium]
WP_010869359.1	WP_029329861	30S ribosomal protein S8 [Mycoplasma genitalium]
WP_010869360.1	WP_014893970	50S ribosomal protein L6 [Mycoplasma genitalium]
WP_010869361.1	WP_029329863	50S ribosomal protein L15 [Mycoplasma genitalium]
WP_009885995.1	WP_014894652	proline--tRNA ligase [Mycoplasma genitalium]
WP_009885999.1	WP_026088353	acyl carrier protein [Mycoplasma pneumoniae]
WP_009886002.1	WP_014894421	ABC transporter permease [Mycoplasma genitalium]
WP_009886003.1	WP_010874493	ABC transporter permease [Mycoplasma pneumoniae]
WP_009886005.1	WP_014894203	DHH family phosphoesterase [Mycoplasma genitalium]
WP_009885921.1	WP_014893897	molecular chaperone DnaJ [Mycoplasma genitalium]
WP_009885924.1	WP_014894134	hypothetical protein [Mycoplasma genitalium]
WP_009885925.1	WP_014894557	PTS glucose transporter subunit IIA [Mycoplasma genitalium]
WP_009885926.1	WP_014894558	30S ribosomal protein S2 [Mycoplasma genitalium]
WP_009885927.1	WP_014893919	magnesium-transporting ATPase [Mycoplasma genitalium]
WP_009885952.1	WP_010869428	hypothetical protein [Mycoplasma genitalium]
WP_009885954.1	WP_014894032	hypothetical protein [Mycoplasma genitalium]
WP_009885956.1	WP_014894471	cation transporter [Mycoplasma genitalium]
WP_009885960.1	WP_014894666	Xaa-Pro aminopeptidase [Mycoplasma genitalium]
WP_009885961.1	WP_010874827	50S ribosomal protein L33 [Mycoplasma pneumoniae]
WP_009885810.1	WP_010874885	DNA recombination protein [Mycoplasma pneumoniae]
WP_009885811.1	WP_010874886	hypothetical protein [Mycoplasma pneumoniae]
WP_009885812.1	WP_010874887	hypothetical protein [Mycoplasma pneumoniae]
WP_009885813.1	WP_014325587	hypothetical protein [Mycoplasma pneumoniae]
WP_009885814.1	WP_014325588	acetate kinase [Mycoplasma pneumoniae]
WP_009885775.1	WP_014894631	trigger factor [Mycoplasma genitalium]
WP_009885776.1	WP_014894234	endopeptidase La [Mycoplasma genitalium]
WP_009885782.1	WP_010874704	5-formyltetrahydrofolate cyclo-ligase [Mycoplasma pneumoniae]
WP_009885785.1	WP_014894633	glycerol-3-phosphate acyltransferase [Mycoplasma genitalium]
WP_009885786.1	WP_014325478	tRNA (adenine-N1)-methyltransferase [Mycoplasma pneumoniae]
WP_009885837.1	WP_010874524	50S ribosomal protein L23 [Mycoplasma pneumoniae]
WP_009885838.1	WP_014894599	50S ribosomal protein L2 [Mycoplasma genitalium]
WP_009885839.1	WP_010874526	30S ribosomal protein S19 [Mycoplasma pneumoniae]
WP_009885840.1	WP_015344888	50S ribosomal protein L22 [Mycoplasma pneumoniae]
WP_009885841.1	WP_014894410	30S ribosomal protein S3 [Mycoplasma genitalium]
WP_009885572.1	WP_014894088	hypothetical protein [Mycoplasma genitalium]
WP_009885573.1	WP_010875029	hypoxanthine-guanine phosphoribosyltransferase [Mycoplasma pneumoniae]
WP_009885575.1	WP_014894521	cell division protein FtsH [Mycoplasma genitalium]
WP_009885576.1	WP_014894520	hypothetical protein [Mycoplasma genitalium]
WP_009885577.1	WP_014894085	hypothetical protein [Mycoplasma genitalium]
WP_009885642.1	WP_010874578	peptidyl-tRNA hydrolase [Mycoplasma pneumoniae]
WP_009885643.1	WP_014894146	prolipoprotein diacylglyceryl transferase [Mycoplasma genitalium]
WP_009885645.1	WP_014325411	30S ribosomal protein S7 [Mycoplasma pneumoniae]
WP_009885646.1	WP_014893927	elongation factor G [Mycoplasma genitalium]
WP_009885647.1	WP_010874585	30S ribosomal protein S6 [Mycoplasma pneumoniae]
WP_009885675.1	WP_014894574	sugar ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_009885676.1	WP_010869341	ABC transporter permease [Mycoplasma genitalium]
WP_009885677.1	WP_014894156	ABC transporter permease [Mycoplasma genitalium]
WP_009885678.1	WP_014894396	DNA topoisomerase I [Mycoplasma genitalium]
WP_009885680.1	WP_014893947	tryptophan--tRNA ligase [Mycoplasma genitalium]
WP_009885604.1	WP_014325642	hypothetical protein [Mycoplasma pneumoniae]
WP_009885605.1	WP_010874982	hydroperoxide reductase [Mycoplasma pneumoniae]
WP_009885606.1	WP_010874981	50S ribosomal protein L28 [Mycoplasma pneumoniae]
WP_009885607.1	WP_014894072	DEAD/DEAH box helicase [Mycoplasma genitalium]
WP_009885608.1	WP_010874979	30S ribosomal protein S15 [Mycoplasma pneumoniae]
WP_009885770.1	WP_058158216	hypothetical protein [Mycoplasma pneumoniae]
WP_009885771.1	WP_014894232	50S ribosomal protein L27 [Mycoplasma genitalium]
WP_009885772.1	WP_054175916	endonuclease IV [Mycoplasma pneumoniae]
WP_009885773.1	WP_014894233	transcriptional repressor [Mycoplasma genitalium]
WP_009885774.1	WP_010874686	hypothetical protein [Mycoplasma pneumoniae]
WP_009885712.1	WP_017532941	purine-nucleoside phosphorylase [Mycoplasma pneumoniae]
WP_009885713.1	WP_014894367	thymidine phosphorylase [Mycoplasma genitalium]
WP_009885715.1	WP_014894547	phosphomannomutase [Mycoplasma genitalium]
WP_009885716.1	WP_014325320	hypothetical protein [Mycoplasma pneumoniae]
WP_009885740.1	WP_010874475	ribonuclease HII [Mycoplasma pneumoniae]
WP_009885741.1	WP_014893991	nucleotide exchange factor GrpE [Mycoplasma genitalium]
WP_009885743.1	WP_014893993	heat-inducible transcriptional repressor HrcA [Mycoplasma genitalium]
WP_009885744.1	WP_014893995	metallophosphatase [Mycoplasma genitalium]
WP_009885745.1	WP_014894215	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB [Mycoplasma genitalium]
WP_010869304.1	WP_014574856	spermidine/putrescine ABC transporter permease [Mycoplasma pneumoniae]
WP_010869305.1	WP_014894365	hypothetical protein [Mycoplasma genitalium]
WP_010869307.1	WP_014893907	2-deoxyribose-5-phosphate aldolase [Mycoplasma genitalium]
WP_010869308.1	WP_010874422	cytidine deaminase [Mycoplasma pneumoniae]
WP_010869309.1	WP_010874425	preprotein translocase subunit SecE [Mycoplasma pneumoniae]
WP_010869481.1	WP_014894515	ribosome recycling factor [Mycoplasma genitalium]
WP_010869482.1	WP_009885591	ribosome biogenesis GTPase YlqF [Mycoplasma genitalium]
WP_010869483.1	WP_014894077	hypothetical protein [Mycoplasma genitalium]
WP_010869484.1	WP_029329843	50S ribosomal protein L19 [Mycoplasma genitalium]
WP_010869485.1	WP_014894701	tRNA (guanosine(37)-N1)-methyltransferase TrmD [Mycoplasma genitalium]
WP_014894311.1	WP_010869456	hypothetical protein [Mycoplasma genitalium]
WP_014894390.1	WP_014893932	uracil-DNA glycosylase [Mycoplasma genitalium]
WP_014894509.1	WP_014894331	excinuclease ABC subunit A [Mycoplasma genitalium]
WP_014894681.1	WP_010869454	RNA pseudouridine synthase [Mycoplasma genitalium]
WP_014894702.1	WP_014325667	30S ribosomal protein S16 [Mycoplasma pneumoniae]
WP_010869329.1	WP_014893929	replicative DNA helicase [Mycoplasma genitalium]
WP_010869330.1	WP_014894389	hypothetical protein [Mycoplasma genitalium]
WP_010869331.1	WP_014894568	glutamyl-tRNA(Gln) amidotransferase subunit A [Mycoplasma genitalium]
WP_010869332.1	WP_010874598	DNA-binding protein WhiA [Mycoplasma pneumoniae]
WP_010869333.1	WP_033159854	preprotein translocase subunit SecG [Mycoplasma alvi]
WP_009885877.1	WP_014894270	signal recognition particle-docking protein FtsY [Mycoplasma genitalium]
WP_009885878.1	WP_014894272	phosphate acetyltransferase [Mycoplasma genitalium]
WP_009885879.1	WP_010874786	glyceraldehyde-3-phosphate dehydrogenase [Mycoplasma pneumoniae]
WP_009885882.1	WP_010874789	cobalt ABC transporter ATP-binding protein [Mycoplasma pneumoniae]
WP_009885883.1	WP_041363400	molecular chaperone DnaK [Mycoplasma genitalium]
WP_009885847.1	WP_014894186	50S ribosomal protein L5 [Mycoplasma genitalium]
WP_009885848.1	WP_010874535	30S ribosomal protein S14 type Z [Mycoplasma pneumoniae]
WP_009885853.1	WP_014894187	50S ribosomal protein L18 [Mycoplasma genitalium]
WP_009885854.1	WP_014894188	30S ribosomal protein S5 [Mycoplasma genitalium]
WP_009885855.1	WP_015344889	preprotein translocase subunit SecY [Mycoplasma pneumoniae]
WP_009885905.1	WP_014894449	2-oxoisovalerate dehydrogenase subunit beta [Mycoplasma genitalium]
WP_009885906.1	WP_014894646	pyruvate dehydrogenase E1 component subunit alpha [Mycoplasma genitalium]
WP_009885907.1	WP_014894647	NADH oxidase [Mycoplasma genitalium]
WP_009885908.1	WP_010869402	adenine phosphoribosyltransferase [Mycoplasma genitalium]
WP_009885909.1	WP_014894452	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [Mycoplasma genitalium]
WP_009885937.1	WP_014894051	tRNA 4-thiouridine(8) synthase ThiI [Mycoplasma genitalium]
WP_009885938.1	WP_014894053	hypothetical protein [Mycoplasma genitalium]
WP_009885939.1	WP_010874911	singe-stranded DNA-binding protein [Mycoplasma pneumoniae]
WP_009885940.1	WP_014894684	hypothetical protein [Mycoplasma genitalium]
WP_009885941.1	WP_014325599	arginine--tRNA ligase [Mycoplasma pneumoniae]
WP_009885972.1	WP_014893893	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/5,10-methylene-tetrahydrofolate cyclohydrolase [Mycoplasma genitalium]
WP_009885973.1	WP_014894529	hypothetical protein [Mycoplasma genitalium]
WP_009885976.1	WP_014325282	deoxyribonuclease [Mycoplasma pneumoniae]
WP_009885980.1	WP_014894472	ribosome biogenesis GTPase Der [Mycoplasma genitalium]
WP_009885985.1	WP_014894474	transcriptional regulator [Mycoplasma genitalium]
WP_010869450.1	WP_014894308	methionyl-tRNA formyltransferase [Mycoplasma genitalium]
WP_010869451.1	WP_014325595	hypothetical protein [Mycoplasma pneumoniae]
WP_010869453.1	WP_041594445	hypothetical protein [Mycoplasma genitalium]
WP_010869455.1	WP_009885936	DHH family phosphoesterase [Mycoplasma genitalium]
WP_010869457.1	WP_014894493	threonine--tRNA ligase [Mycoplasma genitalium]
WP_010869389.1	WP_010874694	hypothetical protein [Mycoplasma pneumoniae]
WP_010869390.1	WP_010874697	DNA helicase II [Mycoplasma pneumoniae]
WP_010869391.1	WP_010874705	metallophosphoesterase [Mycoplasma pneumoniae]
WP_010869392.1	WP_054175805	glycine--tRNA ligase [Mycoplasma pneumoniae]
WP_010869393.1	WP_009885789	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB [Mycoplasma genitalium]
WP_049759247.1	WP_050980910	hypothetical protein [Mycoplasma genitalium]
WP_049759248.1	WP_049759245	hypothetical protein [Mycoplasma genitalium]
WP_081440606.1	WP_010869306	signal recognition particle protein [Mycoplasma genitalium]
WP_081440607.1	WP_015344894	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Mycoplasma pneumoniae]
WP_081440608.1	WP_049759241	hypothetical protein [Mycoplasma genitalium]
WP_010869368.1	WP_010874462	phenylalanine--tRNA ligase subunit alpha [Mycoplasma pneumoniae]
WP_010869370.1	WP_014894426	hypothetical protein [Mycoplasma genitalium]
WP_010869371.1	WP_014894212	DNA topoisomerase IV subunit B [Mycoplasma genitalium]
WP_010869372.1	WP_014894427	DNA topoisomerase 4 subunit A [Mycoplasma genitalium]
WP_010869373.1	WP_014893994	UvrABC system protein C [Mycoplasma genitalium]
WP_010869426.1	WP_014894284	Cytadherence high molecular weight protein 3 [Mycoplasma genitalium]
WP_010869427.1	WP_014894285	adhesin [Mycoplasma genitalium]
WP_010869429.1	WP_014894286	hypothetical protein [Mycoplasma genitalium]
WP_010869432.1	WP_014894289	hypothetical protein [Mycoplasma genitalium]
WP_010869433.1	WP_014894291	esterase [Mycoplasma genitalium]
WP_010869403.1	WP_014894648	hypothetical protein [Mycoplasma genitalium]
WP_010869404.1	WP_014894253	hypothetical protein [Mycoplasma genitalium]
WP_010869405.1	WP_014894453	IgG-blocking protein M [Mycoplasma genitalium]
WP_010869406.1	WP_017532918	hypothetical protein [Mycoplasma pneumoniae]
WP_010869407.1	WP_041361218	hypothetical protein [Mycoplasma genitalium]
WP_010869346.1	WP_014893949	metal-dependent phosphohydrolase [Mycoplasma genitalium]
WP_010869347.1	WP_014893953	nucleoid-associated protein, YbaB/EbfC family [Mycoplasma genitalium]
WP_010869348.1	WP_014894165	hypothetical protein [Mycoplasma genitalium]
WP_010869350.1	WP_014893957	elongation factor 4 [Mycoplasma genitalium]
WP_010869351.1	WP_014894589	ATP-dependent helicase [Mycoplasma genitalium]
WP_009885623.1	WP_010874956	ATP synthase subunit gamma [Mycoplasma pneumoniae]
WP_009885626.1	WP_010874952	ribose 5-phosphate isomerase B [Mycoplasma pneumoniae]
WP_009885627.1	WP_014894062	hypothetical protein [Mycoplasma genitalium]
WP_009885629.1	WP_014894687	serine hydroxymethyltransferase [Mycoplasma genitalium]
WP_009885631.1	WP_010874930	molecular chaperone GroEL [Mycoplasma pneumoniae]
WP_009885594.1	WP_014894075	hypothetical protein [Mycoplasma genitalium]
WP_009885595.1	WP_014894342	hypothetical protein [Mycoplasma genitalium]
WP_009885596.1	WP_014325652	type I restriction modification protein [Mycoplasma pneumoniae]
WP_009885597.1	WP_014894074	phosphatidate cytidylyltransferase [Mycoplasma genitalium]
WP_009885562.1	WP_014893888	DNA polymerase III subunit beta [Mycoplasma genitalium]
WP_009885563.1	WP_010875045	chromosome partitioning protein ParA [Mycoplasma pneumoniae]
WP_009885564.1	WP_014894350	hypothetical protein [Mycoplasma genitalium]
WP_009885565.1	WP_014894523	ABC transporter permease [Mycoplasma genitalium]
WP_009885566.1	WP_014894522	ABC transporter ATP-binding protein [Mycoplasma genitalium]
WP_009885659.1	WP_014894392	GntR family transcriptional regulator [Mycoplasma genitalium]
WP_009885660.1	WP_014893936	thioredoxin-disulfide reductase [Mycoplasma genitalium]
WP_009885662.1	WP_014894393	ribonuclease R [Mycoplasma genitalium]
WP_009885663.1	WP_014893938	hypothetical protein [Mycoplasma genitalium]
WP_009885664.1	WP_010874602	peptide deformylase [Mycoplasma pneumoniae]
WP_009885693.1	WP_014893956	UDP-galactopyranose mutase [Mycoplasma genitalium]
WP_009885694.1	WP_014894583	ribonuclease J [Mycoplasma genitalium]
WP_009885697.1	WP_014894107	glycerol transporter [Mycoplasma genitalium]
WP_009885698.1	WP_014894540	thymidine kinase [Mycoplasma genitalium]
WP_009885699.1	WP_014894109	histidine--tRNA ligase [Mycoplasma genitalium]
WP_009885821.1	WP_014325593	30S ribosomal protein S20 [Mycoplasma pneumoniae]
WP_009885823.1	WP_014894489	ribonuclease III [Mycoplasma genitalium]
WP_009885824.1	WP_014894309	phosphate acyltransferase PlsX [Mycoplasma genitalium]
WP_009885827.1	WP_014894176	transcription termination/antitermination protein NusA [Mycoplasma genitalium]
WP_009885828.1	WP_014894591	hypothetical protein [Mycoplasma genitalium]
WP_009885795.1	WP_014894239	hypothetical protein [Mycoplasma genitalium]
WP_009885798.1	WP_014894043	DNA-directed RNA polymerase subunit beta [Mycoplasma genitalium]
WP_009885799.1	WP_014894303	NAD(P)H-dependent oxidoreductase [Mycoplasma genitalium]
WP_009885800.1	WP_010874875	esterase [Mycoplasma pneumoniae]
